location,date,total_cases,total_deaths,DeathPercentage
United States,9/30/2020,7235428,207201,2.863700668
Canada,9/29/2020,158991,9373,5.89530225
United States,9/29/2020,7195994,206243,2.866080767
Canada,9/28/2020,157219,9360,5.953478905
United States,9/28/2020,7152546,205410,2.871844515
Canada,9/27/2020,155428,9343,6.011143423
United States,9/27/2020,7119311,205052,2.880222538
Canada,9/26/2020,153770,9338,6.072705989
United States,9/26/2020,7081803,204737,2.891029304
Canada,9/25/2020,152717,9332,6.110649109
United States,9/25/2020,7037151,203969,2.898459902
Canada,9/24/2020,151087,9325,6.17194067
United States,9/24/2020,6988869,203025,2.90497647
Canada,9/23/2020,149939,9317,6.213860303
United States,9/23/2020,6941758,202128,2.911769612
Canada,9/22/2020,148855,9309,6.253736858
United States,9/22/2020,6902696,201072,2.912948796
Canada,9/21/2020,147583,9300,6.301538795
United States,9/21/2020,6862834,200040,2.914830812
Canada,9/20/2020,145750,9288,6.372555746
United States,9/20/2020,6810862,199613,2.930803766
Canada,9/19/2020,144607,9286,6.421542526
United States,9/19/2020,6772447,199348,2.943515099
Canada,9/18/2020,144053,9279,6.441379215
United States,9/18/2020,6730288,198616,2.951077279
Canada,9/17/2020,142879,9267,6.485907656
United States,9/17/2020,6681004,197720,2.959435438
Canada,9/16/2020,141852,9262,6.529340439
United States,9/16/2020,6635867,196859,2.9665905
Canada,9/15/2020,140900,9257,6.569907736
United States,9/15/2020,6596849,195903,2.969645053
Canada,9/14/2020,140098,9249,6.601807306
United States,9/14/2020,6557342,194703,2.969236621
Canada,9/13/2020,138640,9236,6.66185805
United States,9/13/2020,6522914,194272,2.978300802
Canada,9/12/2020,138164,9233,6.682638024
United States,9/12/2020,6488563,193837,2.987364074
Canada,9/11/2020,137676,9231,6.704872309
United States,9/11/2020,6447501,193135,2.995501668
Canada,9/10/2020,136956,9231,6.740120915
United States,9/10/2020,6399723,191961,2.999520448
Canada,9/9/2020,136135,9223,6.77489257
United States,9/9/2020,6363650,191045,3.002129281
Canada,9/8/2020,135757,9219,6.79081005
United States,9/8/2020,6329593,189885,2.999955921
Canada,9/7/2020,134295,9212,6.859525671
United States,9/7/2020,6302200,189432,3.005807496
Canada,9/6/2020,133890,9209,6.878034207
United States,9/6/2020,6278633,189137,3.012391392
Canada,9/5/2020,133511,9207,6.896060999
United States,9/5/2020,6247464,188668,3.01991336
Canada,9/4/2020,133141,9206,6.914474129
United States,9/4/2020,6204376,187906,3.028604327
Canada,9/3/2020,132527,9205,6.94575445
United States,9/3/2020,6153983,186948,3.037837446
Canada,9/2/2020,131941,9199,6.972055692
United States,9/2/2020,6109773,185911,3.042846273
Canada,9/1/2020,131422,9197,6.998067295
United States,9/1/2020,6068759,184832,3.045630911
Canada,8/31/2020,130918,9193,7.021952673
United States,8/31/2020,6026895,183802,3.049696403
Canada,8/30/2020,129888,9185,7.071476965
United States,8/30/2020,5991507,183260,3.058662871
Canada,8/29/2020,129639,9184,7.084287907
United States,8/29/2020,5957126,182807,3.068711322
Canada,8/28/2020,129342,9181,7.098235685
United States,8/28/2020,5914395,181906,3.075648481
Canada,8/27/2020,128836,9168,7.116023472
United States,8/27/2020,5867547,180929,3.083554337
Canada,8/26/2020,128380,9164,7.138183518
United States,8/26/2020,5822167,179815,3.088454866
Canada,8/25/2020,127903,9159,7.160895366
United States,8/25/2020,5777001,178649,3.092417675
Canada,8/24/2020,127594,9154,7.174318542
United States,8/24/2020,5736641,177413,3.092628596
Canada,8/23/2020,126817,9146,7.21196685
United States,8/23/2020,5700119,176940,3.10414572
Canada,8/22/2020,126560,9142,7.223451327
United States,8/22/2020,5665887,176395,3.113281292
Canada,8/21/2020,126319,9141,7.236441074
United States,8/21/2020,5622842,175486,3.120948446
Canada,8/20/2020,125625,9127,7.265273632
United States,8/20/2020,5574013,174395,3.128715344
Canada,8/19/2020,125408,9124,7.275452922
United States,8/19/2020,5529973,173292,3.133686186
Canada,8/18/2020,125084,9118,7.289501455
United States,8/18/2020,5482614,171953,3.136332414
Canada,8/17/2020,124218,9108,7.332270685
United States,8/17/2020,5437580,170727,3.139760702
Canada,8/16/2020,124004,9106,7.343311506
United States,8/16/2020,5400904,170235,3.151972336
Canada,8/15/2020,123825,9101,7.349888956
United States,8/15/2020,5361712,169618,3.163504493
Canada,8/14/2020,123605,9095,7.358116581
United States,8/14/2020,5314791,168618,3.1726177
Canada,8/13/2020,123180,9091,7.380256535
United States,8/13/2020,5249451,167282,3.186657043
Canada,8/12/2020,122703,9085,7.404056951
United States,8/12/2020,5198137,166215,3.197587905
Canada,8/11/2020,122389,9080,7.418967391
United States,8/11/2020,5142088,164716,3.203290181
Canada,8/10/2020,122053,9074,7.434475187
United States,8/10/2020,5094087,163696,3.213451203
Canada,8/9/2020,121367,9067,7.470729276
United States,8/9/2020,5046463,163060,3.231173993
Canada,8/8/2020,121148,9064,7.48175785
United States,8/8/2020,5000709,162537,3.25027911
Canada,8/7/2020,120903,9060,7.49361058
United States,8/7/2020,4946590,161459,3.264046545
Canada,8/6/2020,120387,9055,7.52157625
United States,8/6/2020,4887293,160222,3.278338336
Canada,8/5/2020,120033,9049,7.538760174
United States,8/5/2020,4827936,158978,3.292877122
Canada,8/4/2020,119659,9043,7.557308686
United States,8/4/2020,4773479,157540,3.300318279
Canada,8/3/2020,118973,9035,7.59416002
United States,8/3/2020,4714678,156258,3.314287847
Canada,8/2/2020,118768,9032,7.604742018
United States,8/2/2020,4669149,155677,3.334162178
Canada,8/1/2020,118523,9029,7.617930697
United States,8/1/2020,4623604,155240,3.357553977
Canada,7/31/2020,118281,9025,7.630135017
United States,7/31/2020,4567420,154147,3.374925012
Canada,7/30/2020,117677,9019,7.664199461
United States,7/30/2020,4498701,152910,3.398981173
Canada,7/29/2020,117357,9006,7.674020297
United States,7/29/2020,4431244,151679,3.422943986
Canada,7/28/2020,116871,9001,7.70165396
United States,7/28/2020,4359391,150265,3.446926417
Canada,7/27/2020,116471,8991,7.719518163
United States,7/27/2020,4292934,148935,3.469305608
Canada,7/26/2020,115789,8978,7.753758993
United States,7/26/2020,4236083,147809,3.489284794
Canada,7/25/2020,115470,8974,7.771715597
United States,7/25/2020,4181308,147278,3.522294937
Canada,7/24/2020,115115,8970,7.792207792
United States,7/24/2020,4116393,146348,3.555248491
Canada,7/23/2020,114398,8966,7.837549608
United States,7/23/2020,4043070,145241,3.592344431
